product_number,winetype,name
596907,valkoviinit,You, me and the gatepost Chardonnay Viognier
560457,valkoviinit,Blue Pompano  muovipullo
580207,valkoviinit,Brown Brothers Dry Muscat
551978,valkoviinit,Chill Out Fresh & Fruity 2014 hanapa
592427,valkoviinit,Chill Out Fresh & Fruity Chardonnay 2014 muovi
514247,valkoviinit,Curious Chardonnay Sauvignon Blanc
564497,valkoviinit,De Bortoli DB Gewürztraminer Riesling
571287,valkoviinit,Hardys Bin 141 Colombard Chardonnay
589177,valkoviinit,Hardys Stamp Chardonnay Semillon
568237,valkoviinit,Hardys VR Chardonnay
568238,valkoviinit,Hardys VR Chardonnay 2014 hanapa
008164,valkoviinit,Jacob's Creek Classic Chardonnay
538778,valkoviinit,Jacob's Creek Earth Vine Grape Chardonnay 2014 hanapa
587757,valkoviinit,Jacob's Creek Riesling
007764,valkoviinit,Jacob's Creek Semillon Chardonnay
595998,valkoviinit,Kangaroo Ridge Semillon Chardonnay 2014 hanapa
006006,valkoviinit,Lindemans Bin 65 Chardonnay
535947,valkoviinit,Lindemans Early Harvest Semillon Sauvignon Blanc
547607,valkoviinit,Logan Weemala Riesling
582497,valkoviinit,McGuigan Black Label Moscato
008125,valkoviinit,Rawson's Retreat Riesling
585757,valkoviinit,Rosemount GTR
006603,valkoviinit,Wood Ridge Fruity White
008136,valkoviinit,Ninth Island Sauvignon Blanc
573077,valkoviinit,McGuigan Bin 9000 Semillon
588337,valkoviinit,Leva Chardonnay Muscat
582197,valkoviinit,Cono Sur Bicicleta Riesling
519237,valkoviinit,Cono Sur Bicicleta Riesling Gewürztraminer Viognier
578227,valkoviinit,Cono Sur Single Vineyard Block 23 Riesling
008313,valkoviinit,Caliterra Reserva Chardonnay
576107,valkoviinit,Castillo de Molina Reserva Chardonnay
577167,valkoviinit,Cono Sur Reserva Especial Chardonnay
538687,valkoviinit,Cono Sur Single Vineyard Block 5 Chardonnay
561777,valkoviinit,Emiliana Signos de Origen La Vinilla
579777,valkoviinit,Errázuriz Sauvignon Blanc Single Vineyard
534387,valkoviinit,Lapostolle Cuvée Alexandre Chardonnay
539017,valkoviinit,Natura Chardonnay
008056,valkoviinit,Tarapacá Reserva Chardonnay
566677,valkoviinit,Yali Wetland Reserva Sauvignon Blanc
572757,valkoviinit,Torres Santa Digna Riesling Reserva
563997,valkoviinit,Nimbus Single Vineyard Chardonnay
553387,valkoviinit,Tarapacá Sauvignon Blanc Chardonnay Viognier
008042,valkoviinit,Carta Vieja Chardonnay
005523,valkoviinit,Antares Chardonnay
008064,valkoviinit,Casillero del Diablo Chardonnay
580643,valkoviinit,Casillero del Diablo Chardonnay
571057,valkoviinit,Casillero del Diablo Sauvignon Blanc
008065,valkoviinit,Cono Sur Tocornal Chardonnay
552867,valkoviinit,Espíritu de Chile Chardonnay Gewürztraminer
580358,valkoviinit,Espíritu de Chile Gewürztraminer Semillon  hanapakkaus
552988,valkoviinit,Espíritu de Chile Selección White  viinipussi
008106,valkoviinit,Frontera Chardonnay
581068,valkoviinit,Frontera Chardonnay 2014 hanapa
008005,valkoviinit,Gato Negro Chardonnay
008021,valkoviinit,Gato Negro Chardonnay 2014 hanapa
580039,valkoviinit,Gato Negro Sauvignon Blanc 2009 kartonkit
008003,valkoviinit,Gato Negro Sauvignon Blanc
008004,valkoviinit,Gato Negro Sauvignon Blanc
580038,valkoviinit,Gato Negro Sauvignon Blanc 2015 hanapa
594598,valkoviinit,Liisa Sauvignon Blanc Muscat  kartonkitölkki
008163,valkoviinit,Luna Negra Chardonnay  hanapakkaus
567838,valkoviinit,Santa Helena Chardonnay 2015 hanapa
567837,valkoviinit,Santa Helena Varietal Chardonnay
008053,valkoviinit,Santa Helena Varietal Sauvignon Blanc
008083,valkoviinit,Santa Rita 120 Chardonnay
567017,valkoviinit,Serenata Chardonnay
008084,valkoviinit,Sunrise Chardonnay
008062,valkoviinit,Sunrise Sauvignon Blanc
008072,valkoviinit,Tarapacá Santa Cecilia Chardonnay
578977,valkoviinit,Tarapacá Santa Cecilia Sauvignon Blanc
522207,valkoviinit,Torres Las Mulas Organic Viognier
545137,valkoviinit,Torres Santa Digna Gewürztraminer Reserva
543297,valkoviinit,Torres Santa Digna Sauvignon Blanc Reserva
588667,valkoviinit,Viña Maipo Chardonnay
588668,valkoviinit,Viña Maipo Chardonnay 2014 hanapa
532677,valkoviinit,Adobe Gewürztraminer Reserva
008052,valkoviinit,Château Los Boldos Sauvignon Blanc
501387,valkoviinit,Yali Wetland Reserva Gewürztraminer
510647,valkoviinit,Anakena Ona Special Reserve Riesling Chardonnay Viognier
575977,valkoviinit,Casa Marin Cartagena Riesling
594677,valkoviinit,Leyda Garuma Vineyard Sauvignon Blanc
587357,valkoviinit,Leyda Sauvignon Blanc Lot 4
549837,valkoviinit,Leyda Sauvignon Gris Kadun Vineyard
576717,valkoviinit,Matetic EQ Organic Chardonnay
510297,valkoviinit,Novas Gran Reserva Sauvignon Blanc
574738,valkoviinit,Santa Carolina Reserva Sauvignon Blanc 2014 hanapa
550557,valkoviinit,Gran Vinum Albariño
523007,valkoviinit,La Liebre y la Tortuga Albariño
572537,valkoviinit,Abadía Retuerta Blanco de Guarda Le Domaine 
502334,valkoviinit,Marques de Riscal Verdejo
523597,valkoviinit,Gramona Xarel.lo Font Jui
551037,valkoviinit,Herencia Altés Garnatxa Blanca
007045,valkoviinit,Raimat Castell de Raimat Chardonnay
593277,valkoviinit,Raventos i Blanc Silencis
582567,valkoviinit,Savia Viva Familia Xarel.lo
514727,valkoviinit,Terraprima Blanco
553787,valkoviinit,Torres Gran Viña Sol Chardonnay
007505,valkoviinit,Torres San Valentin Parellada
575318,valkoviinit,Torres Viña Esmeralda 2013 hanapa
007531,valkoviinit,Torres Viña Esmeralda
575314,valkoviinit,Torres Viña Esmeralda
554547,valkoviinit,Torres Viña Sol
527198,valkoviinit,Cerro Blanco Verdejo Chardonnay  kartonkit
580847,valkoviinit,El Tiempo B
574767,valkoviinit,El Tiempo Sem
502837,valkoviinit,Estrella de Murviedro Friz
008974,valkoviinit,Fiesta del Sol Semi
598837,valkoviinit,Freixenet Mía Blanco
526747,valkoviinit,José Pariente Varietal Verdejo
004331,valkoviinit,Karahvivalko
530558,valkoviinit,Parra Organic Verdejo Chardonnay 2014 viini
529398,valkoviinit,Tierra Nueva Organic 2013 hanapa
007065,valkoviinit,Marqués de Cáceres Satinela
584807,valkoviinit,Muga Blanco
516737,valkoviinit,Bellingham The Bernard Series Old Vine Chenin Blanc
500097,valkoviinit,Bellingham The Bernard Series Whole Bunch Grenache Blanc Viognier
527407,valkoviinit,Diemersdal Estate Sauvignon Blanc Reserve
539348,valkoviinit,Fleur du Cap Organic Sauvignon Blanc 2014 hanapa
555057,valkoviinit,Lions Lair Family Reserve White
550567,valkoviinit,Ostrich Landing Chenin Blanc
518297,valkoviinit,Perdeberg Winery Sauvignon Blanc Semillon
502307,valkoviinit,Stellenbosch Drive Oaked Chenin Blanc
595824,valkoviinit,Thandi Sauvignon Blanc
585828,valkoviinit,Cape Gold Chenin Blanc  hanapa
570698,valkoviinit,Chill Out Crisp&Fresh Chenin Blanc. 2014 viini
515907,valkoviinit,Douglas Green Chenin Blanc
580557,valkoviinit,Drostdy-Hof Chardonnay
525688,valkoviinit,Fairvalley Chenin Blanc Sauvignon Blanc 2014 hanapa
594537,valkoviinit,False Bay Chardonnay
546377,valkoviinit,Footmark Chardonnay Viognier
552078,valkoviinit,Frisky Zebras Sensuous Sauvignon Blanc  kartonkit
592007,valkoviinit,Frisky Zebras Whispering 
513608,valkoviinit,Green Balance 2014 muovi
576407,valkoviinit,Julien Schaal Chardonnay
598437,valkoviinit,Kaya Chardonnay Viognier
583928,valkoviinit,Kumala Chenin Chardonnay 2013 hanapa
587207,valkoviinit,Kumala Colombard Chardonnay
589808,valkoviinit,KWV Chenin Blanc 2014 hanapa
007835,valkoviinit,KWV Classic Collection Chardonnay
523897,valkoviinit,KWV Moscato
562687,valkoviinit,Leo  muovi
534137,valkoviinit,Live-a-Little Wildly Wicked White
584787,valkoviinit,Nederburg Winemaster's Reserve Sauvignon Blanc
008176,valkoviinit,Out of Africa Chardonnay
597918,valkoviinit,Palesa Chenin Blanc 2015 viini
007742,valkoviinit,Pearly Bay Dry 
577428,valkoviinit,Pearly Bay Dry White  hanapa
008165,valkoviinit,Pebble Park Chardonnay  hanapa
512477,valkoviinit,Pecan Stream Sauvignon Blanc
525678,valkoviinit,Rain Dance Chenin Blanc  hanapa
512747,valkoviinit,Saam Mountain Chenin Blanc Muscat d'Alexandrie
585177,valkoviinit,Spier Inspire Chardonnay
008166,valkoviinit,Stony Cape Chenin Blanc  hanapa
581667,valkoviinit,Stony Cape Chenin Blanc
593007,valkoviinit,Sutherland Riesling
535388,valkoviinit,Thandi Chardonnay Chenin Blanc 2014 hanapa
580158,valkoviinit,Two Oceans Fresh & Fruity White 2015 hanapa
591068,valkoviinit,Two Oceans Pinot Grigio 2014 viini
558948,valkoviinit,Two Oceans Sauvignon Blanc 2015 hanapa
554637,valkoviinit,Versus White
575677,valkoviinit,Tbilvino Rkatsiteli
578707,valkoviinit,Barkan Classic Chardonnay
586757,valkoviinit,Enrico Serafino Gavi del Comune di Gavi
574097,valkoviinit,Canaletto Chardonnay Verdeca
008016,valkoviinit,Pasqua Chardonnay
598357,valkoviinit,Cà Bruciata Romagna Albana Secco
008316,valkoviinit,Lambrusco Bianco dell'E
008325,valkoviinit,Collavini Chardonnay dei Sassi Cavi
585357,valkoviinit,Collavini Villa Canlungo Pinot Grigio
505087,valkoviinit,San Simone Prestige Sauvignon
008461,valkoviinit,Bigi Est! Est!! Est!!!
007003,valkoviinit,Fontana di Papa
540827,valkoviinit,Gotto d'Oro Frascati Secco
532657,valkoviinit,Bucci Verdicchio dei Castelli di Jesi Classico Superiore
583257,valkoviinit,Villa Bianchi Verdicchio dei Castelli di Jesi Classico
582178,valkoviinit,Albero Chardonnay  kartonkit
549877,valkoviinit,Cavit Sanvigilio Pinot Grigio
502297,valkoviinit,Mastroberardino Fiano di Avellino
512417,valkoviinit,Mastroberardino NovaSerra Greco di Tufo
581577,valkoviinit,Pino Pino Vino Frizzante Pinot
576057,valkoviinit,Rocca del Dragone Falanghina
528427,valkoviinit,Triade della Campania
008384,valkoviinit,Zonin Frizzantino Am
572377,valkoviinit,La Luciana Gavi
596517,valkoviinit,Sergio Roero Arneis
500708,valkoviinit,Corallo Grillo  hanapa
593607,valkoviinit,Filippo Grasso Ànemos Etna Bianco
597887,valkoviinit,Gazzera Pinot Grigio Moscato Organic
549807,valkoviinit,Inycon Grillo Viognier Organic
573877,valkoviinit,Lamura Grillo
552158,valkoviinit,Montalto Cataratto Viognier 2014 hanapa
584667,valkoviinit,Montalto Grillo Sauvignon Blanc
536818,valkoviinit,Montalto Pinot Grigio 2014 muovi
008225,valkoviinit,Santagostino Catarratto Chardonnay 2013 hanapa
519747,valkoviinit,Tannu Organic Insolia
513027,valkoviinit,Belgvardo Vermentino
008212,valkoviinit,Ruffino Libaio Chardonnay
008341,valkoviinit,Villa Antinori Bianco
568927,valkoviinit,Cantina Terlan Terlaner Classico
008413,valkoviinit,Cavit Sanvigilio Chardonnay
008422,valkoviinit,Cavit Sanvigilio Chardonnay
008433,valkoviinit,Mezzacorona Gewürztraminer
511207,valkoviinit,Pinot Grigio St. Magdalena
510127,valkoviinit,Terlan Nova Domus Riserva
526407,valkoviinit,Terlan Nova Domus Riserva
545537,valkoviinit,Terlan Quarz Sauvignon
561577,valkoviinit,Terlan Quarz Sauvignon
512577,valkoviinit,Terlaner I Grande Cuvée
545127,valkoviinit,Weisshaus Pinot Bianco
008351,valkoviinit,Ruffino Orvieto Classico
501837,valkoviinit,Terre di Faiano Grechetto
008242,valkoviinit,Anselmi San Vincenzo
008323,valkoviinit,Botter Pinot Bianco
583237,valkoviinit,Botter Pinot Bianco
548937,valkoviinit,Custoza Terre in Fiore Organic
004906,valkoviinit,Eleganza 
555797,valkoviinit,Il Sole Organic Garganella
008485,valkoviinit,La Marca Pro
008365,valkoviinit,Lamberti Pinot Grigio
008234,valkoviinit,Lugana San Benedetto
551254,valkoviinit,Mannara Pinot Grigio
008224,valkoviinit,Masi Modello delle Venezie Bianco
008496,valkoviinit,Pasqua Pro
571267,valkoviinit,Pieropan La Rocca
579007,valkoviinit,Pinot Grigio Garda
533097,valkoviinit,Sartori Marani Appassimento
523157,valkoviinit,Si Soave
008226,valkoviinit,Verduzzo delle Venezie
588368,valkoviinit,Villa Anna Bianco  hanapa
004951,valkoviinit,Villa Anna 
590387,valkoviinit,Zenato Pinot Grigio
008282,valkoviinit,Zenato Soave Classico
505247,valkoviinit,Meinklang Grüner Veltliner
553427,valkoviinit,Mayer Wiener Gemischter Satz
583807,valkoviinit,Tement Morillon Muschelkalk
511807,valkoviinit,Tement Welschriesling Klassik
515937,valkoviinit,Wohlmuth Gola Pinot Blanc
555927,valkoviinit,Wohlmuth Sauvignon Blanc Klassik
577837,valkoviinit,Biohof Pratsch Grüner Veltliner
513367,valkoviinit,Bründlmayer Riesling Steinmassel
597307,valkoviinit,Domäne Wachau Neuburger Federspiel Terrassen
568977,valkoviinit,Felsner Lössterrassen Grüner Veltliner
541597,valkoviinit,Jamek Jochinger Berg Riesling Federspiel
582337,valkoviinit,Johanneshof Reinisch Zierfandler
556557,valkoviinit,Josef Dockner Gelber Muskateller Göttweiger Berg
571507,valkoviinit,Jurtschitsch Platin Riesling
552587,valkoviinit,Kamptal Reserve Loisiumweingarten Grüner Veltliner
597947,valkoviinit,Leindl Irrbling Riesling Reserve
562037,valkoviinit,Leth Duett Riesling & Veltliner
598557,valkoviinit,Leth Simply Wow!
527317,valkoviinit,Loimer Loiserberg Grüner Veltliner
590147,valkoviinit,Malat Riesling Kellergärten
501577,valkoviinit,Nigl Sauvignon Blanc
599634,valkoviinit,Rabl Grüner Veltliner
536468,valkoviinit,Selektion Grüner Veltliner 2014 hanapa
599447,valkoviinit,Sepp Moser Grüner Veltliner Gebling
521987,valkoviinit,Steininger Riesling
526027,valkoviinit,Steinschaden Grüner Veltliner Riede Stein
581437,valkoviinit,Henry of Pelham Estate Chardonnay
547637,valkoviinit,Assyrtiko
566687,valkoviinit,Retsina Lafa
008481,valkoviinit,Retsina Tsa
548697,valkoviinit,Thalassitis
542617,valkoviinit,Veralda Istarska Malvazija Prestige
522847,valkoviinit,Château Ksara Blanc de Blancs
550967,valkoviinit,Bernard-Massard Auxerrois
563227,valkoviinit,Vinsmoselle Pinot Blanc Côteaux de Schengen
584387,valkoviinit,Château Vartely Sauvignon Blanc
534127,valkoviinit,Adega de Pegões Colheita Seleccionada
599477,valkoviinit,Carm Branco
008361,valkoviinit,Casal G
595077,valkoviinit,Ciconia Antão Vaz Roupeiro
007196,valkoviinit,
543877,valkoviinit,G
561147,valkoviinit,Morgadio da Torre Alvarinho Vinho Verde
528567,valkoviinit,Pato Frio Selecção
523937,valkoviinit,Torre de Azevedo
552227,valkoviinit,Vinha do Rosario
509937,valkoviinit,A360P Pinot Gris Grand Cru Muenchberg
008121,valkoviinit,André Stentz Riesling
571067,valkoviinit,Cuvée Jean-Baptiste Riesling Letzenberg
546113,valkoviinit,Cuvée René Dopff Riesling
536197,valkoviinit,Domaine Ostertag Fronholz Riesling
587327,valkoviinit,Domaine Ostertag Muenchberg Riesling
007363,valkoviinit,Domaine Zinck Riesling Prestige
573527,valkoviinit,Dopff & Irion Cuvée René Dopff Muscat
007561,valkoviinit,Dopff Riesling Cuvée Europe
007483,valkoviinit,Gentil 'Hugel'
526087,valkoviinit,Gewurztraminer 'Hugel'
579337,valkoviinit,Gisselbrecht Gewurztraminer Tradition
591987,valkoviinit,Gisselbrecht Riesling Grand Cru Muenchberg
544397,valkoviinit,Gisselbrecht Riesling Tradition
514937,valkoviinit,Gustave Lorentz Sylvaner Réserve
560327,valkoviinit,Jean Biecher Réserve Riesling
509877,valkoviinit,Jean-Baptiste Adam Pinot Gris Réserve
504517,valkoviinit,Josmeyer Pinot Gris Grand Cru Brand
589427,valkoviinit,Léon Beyer Gewurztraminer Réserve
576207,valkoviinit,Léon Beyer Riesling
579957,valkoviinit,Pfaff Pinot Blanc
007485,valkoviinit,Pfaff Pinot Gris
007296,valkoviinit,Pfaff Special
526437,valkoviinit,Pfaffenheim Black Tie
589087,valkoviinit,Pierre Sparr One
007501,valkoviinit,Pierre Sparr Rayon d'Alsace Edelzwicker
007422,valkoviinit,Pinot Blanc Klevner Réserve
007291,valkoviinit,Riesling Lieu-Dit Muehlforst
571257,valkoviinit,Trimbach Pinot Gris Réserve
588587,valkoviinit,Trimbach Riesling Réserve
597157,valkoviinit,Wolfberger (W)_
